@relation Ogrenci_Performans

@attribute ﻿Cinsiyet {Kadin,Erkek}
@attribute 'Ebeveyn Egitim Seviyesi' {'Lisans Mezunu','Onlisans Mezunu','Yuksek Lisans Mezunu','Lise Mezunu'}
@attribute 'Okul Yemekhanesi' {Yok,Var}
@attribute 'Ozel Ders' {Yok,Var}
@attribute Matematik numeric
@attribute Okuma numeric
@attribute Yazma numeric

@data
Kadin,'Lise Mezunu',Var,Yok,0,17,10
Kadin,'Lise Mezunu',Var,Yok,8,24,23
Kadin,'Lise Mezunu',Var,Yok,18,32,28
Kadin,'Onlisans Mezunu',Yok,Yok,19,38,32
Kadin,'Onlisans Mezunu',Var,Yok,22,39,33
Kadin,'Lise Mezunu',Var,Var,23,44,36
Kadin,'Lise Mezunu',Var,Yok,24,38,27
Kadin,'Onlisans Mezunu',Var,Yok,26,31,38
Erkek,'Lise Mezunu',Var,Yok,27,34,36
Kadin,'Lise Mezunu',Var,Yok,27,34,32
Erkek,'Onlisans Mezunu',Var,Yok,28,23,19
Kadin,'Lisans Mezunu',Var,Yok,29,41,47
Kadin,'Lise Mezunu',Yok,Yok,29,29,30
Kadin,'Lise Mezunu',Var,Var,29,40,44
Erkek,'Lise Mezunu',Yok,Yok,30,26,22
Erkek,'Lise Mezunu',Var,Yok,30,24,15
Kadin,'Onlisans Mezunu',Var,Yok,32,39,33
Kadin,'Lise Mezunu',Yok,Var,32,51,44
Kadin,'Lise Mezunu',Var,Yok,32,34,38
Kadin,'Lise Mezunu',Var,Yok,33,41,43
Kadin,'Lise Mezunu',Var,Yok,34,42,39
Kadin,'Lise Mezunu',Var,Var,34,48,41
Erkek,'Onlisans Mezunu',Var,Yok,35,28,27
Kadin,'Lise Mezunu',Var,Var,35,55,60
Kadin,'Lise Mezunu',Var,Yok,35,61,54
Kadin,'Onlisans Mezunu',Var,Yok,35,44,43
Kadin,'Lise Mezunu',Var,Yok,35,53,46
Kadin,'Lise Mezunu',Var,Yok,36,53,43
Erkek,'Lise Mezunu',Var,Yok,36,29,27
Kadin,'Lise Mezunu',Yok,Yok,37,46,46
Erkek,'Lisans Mezunu',Var,Yok,37,56,47
Kadin,'Lisans Mezunu',Yok,Yok,37,45,38
Kadin,'Onlisans Mezunu',Var,Yok,37,57,56
Kadin,'Lise Mezunu',Var,Yok,38,60,50
Kadin,'Lise Mezunu',Var,Yok,38,49,45
Kadin,'Lise Mezunu',Var,Yok,38,43,43
